,lunar_data,nea_data,mba_data
dv_to_moon,3.9649914922116087,7.006539843347466,9.93089792071264
payload_mass,14904.476943328329,29953.565303933552,58600.41569927537
stage1_prop_mass,138093.79374114436,364451.0027849766,795335.6482868515
stage2_prop_mass,107027.90798765987,107664.99880293016,108877.73972357421
total_earth_launch_prop_mass,245121.7017288042,472116.0015879068,904213.3880104257
GWP_CO2,159329.10612372274,306875.40103213943,587738.7022067767
GWP_BC,163414467.81920278,314744001.0586045,602808925.3402838
GWP_NO2,1380035.1807331678,2658013.0889399154,5090721.374498696
GWP_tot,164953832.10605967,317708889.54857653,608487385.4169892
